SINR[226][1]=0.000713985 and in dB, it is -31.4631
SINR[226][2]=0.215952 and in dB, it is -6.65642
SINR[227][1]=0.000743806 and in dB, it is -31.2854
SINR[227][2]=0.227406 and in dB, it is -6.43199
SINR[228][1]=0.00883764 and in dB, it is -20.5366
SINR[228][2]=0.296309 and in dB, it is -5.28255
SINR[229][1]=0.00226101 and in dB, it is -26.457
SINR[229][2]=0.0941689 and in dB, it is -10.2609
SINR[230][1]=0.00862188 and in dB, it is -20.644
SINR[230][2]=14.8603 and in dB, it is 11.7203
SINR[231][1]=0.0120646 and in dB, it is -19.1849
SINR[231][2]=0.495964 and in dB, it is -3.0455
SINR[232][1]=0.028923 and in dB, it is -15.3876
SINR[232][2]=6.17633 and in dB, it is 7.90731
SINR[233][1]=0.00207314 and in dB, it is -26.8337
SINR[233][2]=0.185227 and in dB, it is -7.32296
SINR[234][1]=0.00389286 and in dB, it is -24.0973
SINR[234][2]=0.155169 and in dB, it is -8.09195
SINR[235][1]=0.0108156 and in dB, it is -19.6595
SINR[235][2]=18.0022 and in dB, it is 12.5533
SINR[236][1]=0.00172181 and in dB, it is -27.6402
SINR[236][2]=0.38277 and in dB, it is -4.17062
SINR[237][1]=0.00910176 and in dB, it is -20.4087
SINR[237][2]=4.5872 and in dB, it is 6.61548
SINR[238][1]=0.0734509 and in dB, it is -11.34
SINR[238][2]=0.309604 and in dB, it is -5.09193
SINR[239][1]=0.00790201 and in dB, it is -21.0226
SINR[239][2]=0.0936731 and in dB, it is -10.2839
SINR[240][1]=0.000705385 and in dB, it is -31.5157
SINR[240][2]=0.154096 and in dB, it is -8.1221
SINR[241][1]=0.0154183 and in dB, it is -18.1196
SINR[241][2]=0.33403 and in dB, it is -4.76214
SINR[242][1]=0.00793935 and in dB, it is -21.0022
SINR[242][2]=0.353063 and in dB, it is -4.52148
SINR[243][1]=0.259024 and in dB, it is -5.8666
SINR[243][2]=0.550128 and in dB, it is -2.59537
SINR[244][1]=0.839264 and in dB, it is -0.761014
SINR[244][2]=3.63376 and in dB, it is 5.60356
SINR[245][1]=0.00156435 and in dB, it is -28.0567
SINR[245][2]=0.231756 and in dB, it is -6.34969
SINR[246][1]=0.000466267 and in dB, it is -33.3137
SINR[246][2]=0.0741321 and in dB, it is -11.2999
SINR[247][1]=0.0285064 and in dB, it is -15.4506
SINR[247][2]=0.200272 and in dB, it is -6.98381
SINR[248][1]=0.620625 and in dB, it is -2.07171
SINR[248][2]=1.30395 and in dB, it is 1.15261
SINR[249][1]=0.205791 and in dB, it is -6.86575
SINR[249][2]=5.69347 and in dB, it is 7.55377
SINR[250][1]=0.00121775 and in dB, it is -29.1444
SINR[250][2]=0.200338 and in dB, it is -6.98237
SINR[251][1]=0.092108 and in dB, it is -10.357
SINR[251][2]=0.415492 and in dB, it is -3.81437
SINR[252][1]=0.0163487 and in dB, it is -17.8652
SINR[252][2]=0.147458 and in dB, it is -8.31332
SINR[253][1]=0.00701617 and in dB, it is -21.539
SINR[253][2]=0.0875176 and in dB, it is -10.579
SINR[254][1]=0.00245798 and in dB, it is -26.0942
SINR[254][2]=0.14733 and in dB, it is -8.31708
SINR[255][1]=0.000419971 and in dB, it is -33.7678
SINR[255][2]=0.0840916 and in dB, it is -10.7525
