% time	cellId	IMSI	RNTI	sinrLinear
0.485	1	5	5	0.05096
0.486	1	6	6	0.0537144
0.487	1	7	7	0.0333029
0.488	1	8	8	0.00943654
0.489	1	9	9	0.0101671
0.49	1	10	10	6.53807e+11
0.491	1	1	1	7.9751
0.492	1	2	2	3.3534
0.493	1	3	3	0.823464
0.494	1	4	4	0.292874
0.495	1	5	5	0.054605
0.496	1	6	6	0.0621838
0.497	1	7	7	0.0405259
0.498	1	8	8	0.00900168
0.499	1	9	9	0.0115662
0.5	1	10	10	7.10476e+11
0.501	1	1	1	10.2171
0.502	1	2	2	3.92773
0.503	1	3	3	0.8477
0.504	1	4	4	0.396952
0.505	1	5	5	0.10883
0.506	1	6	6	0.133289
0.507	1	7	7	0.0542569
0.508	1	8	8	0.0171038
0.509	1	9	9	0.0276906
0.51	1	10	10	8.05473e+11
0.511	1	1	1	11.8409
0.512	1	2	2	3.06087
0.513	1	3	3	0.987664
0.514	1	4	4	0.427165
0.515	1	5	5	0.102077
0.516	1	6	6	0.122141
0.517	1	7	7	0.0601533
0.518	1	8	8	0.0214579
0.519	1	9	9	0.0264892
0.52	1	10	10	7.79757e+11
0.521	1	1	1	12.8972
0.522	1	2	2	2.22796
0.523	1	3	3	1.04353
0.524	1	4	4	0.420237
0.525	1	5	5	0.108152
0.526	1	6	6	0.11364
0.527	1	7	7	0.0652505
0.528	1	8	8	0.0262032
0.529	1	9	9	0.0223043
0.53	1	10	10	7.59893e+11
0.531	1	1	1	13.3518
0.532	1	2	2	1.57369
0.533	1	3	3	1.00764
0.534	1	4	4	0.375859
0.535	1	5	5	0.124861
0.536	1	6	6	0.10827
0.537	1	7	7	0.0700312
0.538	1	8	8	0.0297853
0.539	1	9	9	0.0168033
0.54	1	10	10	7.48213e+11
0.541	1	1	1	13.3459
0.542	1	2	2	1.25155
0.543	1	3	3	0.893334
0.544	1	4	4	0.305759
0.545	1	5	5	0.146296
0.546	1	6	6	0.105459
0.547	1	7	7	0.0746906
0.548	1	8	8	0.031055
0.549	1	9	9	0.0124883
0.55	1	10	10	7.50046e+11
0.551	1	1	1	13.158
0.552	1	2	2	1.37241
0.553	1	3	3	0.737211
0.554	1	4	4	0.226675
0.555	1	5	5	0.165047
0.556	1	6	6	0.103864
0.557	1	7	7	0.0785736
0.558	1	8	8	0.0297196
0.559	1	9	9	0.0118537
0.56	1	10	10	7.73647e+11
0.561	1	1	1	12.9534
0.562	1	2	2	1.98252
0.563	1	3	3	0.58546
0.564	1	4	4	0.155814
0.565	1	5	5	0.174596
0.566	1	6	6	0.101835
0.567	1	7	7	0.0804812
0.568	1	8	8	0.0261453
0.569	1	9	9	0.0163442
0.57	1	10	10	8.27198e+11
0.571	1	1	1	12.7485
0.572	1	2	2	3.04924
0.573	1	3	3	0.479947
0.574	1	4	4	0.105085
0.575	1	5	5	0.171896
0.576	1	6	6	0.0981147
0.577	1	7	7	0.0790341
0.578	1	8	8	0.0215038
0.579	1	9	9	0.0257126
0.58	1	10	10	9.10428e+11
0.581	1	1	1	12.3818
0.582	1	2	2	4.44392
0.583	1	3	3	0.446295
0.584	1	4	4	0.0782307
0.585	1	5	5	0.157897
0.586	1	6	6	0.0922182
0.587	1	7	7	0.0733687
0.588	1	8	8	0.0172687
0.589	1	9	9	0.0381038
0.59	1	10	10	1.01403e+12
0.591	1	1	1	11.5959
0.592	1	2	2	5.97905
0.593	1	3	3	0.486827
0.594	1	4	4	0.0715615
0.595	1	5	5	0.137143
0.596	1	6	6	0.0843141
0.597	1	7	7	0.0637573
0.598	1	8	8	0.0148435
0.599	1	9	9	0.0503487
0.6	1	10	10	1.11889e+12
0.601	1	1	1	10.1744
0.602	1	2	2	7.43601
0.603	1	3	3	0.58005
0.604	1	4	4	0.077401
0.605	1	5	5	0.116412
0.606	1	6	6	0.0756031
0.607	1	7	7	0.0519482
0.608	1	8	8	0.0151538
0.609	1	9	9	0.0590796
0.61	1	10	10	1.19771e+12
0.611	1	1	1	8.13371
0.612	1	2	2	8.61019
0.613	1	3	3	0.689348
0.614	1	4	4	0.087395
0.615	1	5	5	0.101865
0.616	1	6	6	0.0672531
0.617	1	7	7	0.0406263
0.618	1	8	8	0.0183373
0.619	1	9	9	0.0619759
0.62	1	10	10	1.22459e+12
0.621	1	1	1	5.7437
0.622	1	2	2	9.35613
0.623	1	3	3	0.774776
0.624	1	4	4	0.0964755
0.625	1	5	5	0.0969146
0.626	1	6	6	0.0603319
0.627	1	7	7	0.0328033
0.628	1	8	8	0.0236959
0.629	1	9	9	0.0585889
0.63	1	10	10	1.18542e+12
0.631	1	1	1	3.52451
0.632	1	2	2	9.61012
0.633	1	3	3	0.803651
0.634	1	4	4	0.103825
0.635	1	5	5	0.101144
0.636	1	6	6	0.0552832
0.637	1	7	7	0.0306804
0.638	1	8	8	0.0298779
0.639	1	9	9	0.0503261
0.64	1	10	10	1.07882e+12
0.641	1	1	1	2.11184
0.642	1	2	2	9.37039
0.643	1	3	3	0.765184
0.644	1	4	4	0.111288
0.645	1	5	5	0.110482
0.646	1	6	6	0.0517548
0.647	1	7	7	0.034927
0.648	1	8	8	0.0352177
0.649	1	9	9	0.0404064
0.65	1	10	10	9.26416e+11
0.651	1	1	1	2.04916
0.652	1	2	2	8.72657
0.653	1	3	3	0.666613
0.654	1	4	4	0.121129
0.655	1	5	5	0.118826
0.656	1	6	6	0.0487945
0.657	1	7	7	0.0443257
0.658	1	8	8	0.0381491
0.659	1	9	9	0.0324611
0.66	1	10	10	7.59817e+11
0.661	1	1	1	3.61895
0.662	1	2	2	7.79352
0.663	1	3	3	0.535346
0.664	1	4	4	0.133688
0.665	1	5	5	0.120811
0.666	1	6	6	0.0453522
0.667	1	7	7	0.0558873
0.668	1	8	8	0.0378029
0.669	1	9	9	0.0295576
0.67	1	10	10	6.16143e+11
0.671	1	1	1	6.70699
0.672	1	2	2	6.69831
0.673	1	3	3	0.406371
0.674	1	4	4	0.146445
0.675	1	5	5	0.113322
0.676	1	6	6	0.0407692
0.677	1	7	7	0.0657616
0.678	1	8	8	0.034046
0.679	1	9	9	0.0330536
